Season,Teams,Date,Stadium,Time
IPL 2011,N/A,N/A,74 T20s . Apr 08 - May 28,N/A
IPL 2011,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 1st match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,N/A,N/A,N/A,N/A
IPL 2011,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 1st match","Apr 08, Fri","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 2nd match","Apr 09, Sat","Rajiv Gandhi International Stadium, Hyderabad",4:00 PM
IPL 2011,"KOCHI TUSKERS KERALA vs ROYAL CHALLENGERS BENGALURU, 3rd match",,"Nehru Stadium, Kochi",8:00 PM
IPL 2011,"DELHI CAPITALS vs MUMBAI INDIANS, 4th match","Apr 10, Sun","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2011,"PUNE WARRIORS vs PUNJAB KINGS, 5th match",,"Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2011,"KOLKATA KNIGHT RIDERS vs DECCAN CHARGERS, 6th match","Apr 11, Mon","Eden Gardens, Kolkata",8:00 PM
IPL 2011,"RAJASTHAN ROYALS vs DELHI CAPITALS, 7th match","Apr 12, Tue","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 8th match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2011,"PUNJAB KINGS vs CHENNAI SUPER KINGS, 9th match","Apr 13, Wed","Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM
IPL 2011,"PUNE WARRIORS vs KOCHI TUSKERS KERALA, 10th match",,"Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2011,"DECCAN CHARGERS vs ROYAL CHALLENGERS BENGALURU, 11th match","Apr 14, Thu","Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2011,"RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 12th match","Apr 15, Fri","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2011,"MUMBAI INDIANS vs KOCHI TUSKERS KERALA, 13th match",,"Wankhede Stadium, Mumbai",8:00 PM
IPL 2011,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, 14th match","Apr 16, Sat","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2011,"DECCAN CHARGERS vs PUNJAB KINGS, 15th match",,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2011,"PUNE WARRIORS vs DELHI CAPITALS, 16th match","Apr 17, Sun","Dr DY Patil Sports Academy, Navi Mumbai",4:00 PM
IPL 2011,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 17th match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2011,"KOCHI TUSKERS KERALA vs CHENNAI SUPER KINGS, 18th match","Apr 18, Mon","Nehru Stadium, Kochi",8:00 PM
IPL 2011,"DELHI CAPITALS vs DECCAN CHARGERS, 19th match","Apr 19, Tue","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 20th match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2011,"MUMBAI INDIANS vs PUNE WARRIORS, 21st match","Apr 20, Wed","Wankhede Stadium, Mumbai",4:00 PM
IPL 2011,"KOLKATA KNIGHT RIDERS vs KOCHI TUSKERS KERALA, 22nd match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2011,"PUNJAB KINGS vs RAJASTHAN ROYALS, 23rd match","Apr 21, Thu","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2011,"KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU, 24th match","Apr 22, Fri","Eden Gardens, Kolkata",4:00 PM
IPL 2011,"MUMBAI INDIANS vs CHENNAI SUPER KINGS, 25th match",,"Wankhede Stadium, Mumbai",8:00 PM
IPL 2011,"DELHI CAPITALS vs PUNJAB KINGS, 26th match","Apr 23, Sat","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2011,"DECCAN CHARGERS vs MUMBAI INDIANS, 27th match","Apr 24, Sun","Rajiv Gandhi International Stadium, Hyderabad",4:00 PM
IPL 2011,"RAJASTHAN ROYALS vs KOCHI TUSKERS KERALA, 28th match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2011,"CHENNAI SUPER KINGS vs PUNE WARRIORS, 29th match","Apr 25, Mon","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,"DELHI CAPITALS vs ROYAL CHALLENGERS BENGALURU, 30th match","Apr 26, Tue","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2011,"PUNE WARRIORS vs CHENNAI SUPER KINGS, 31st match","Apr 27, Wed","Dr DY Patil Sports Academy, Navi Mumbai",4:00 PM
IPL 2011,"KOCHI TUSKERS KERALA vs DECCAN CHARGERS, 32nd match",,"Nehru Stadium, Kochi",8:00 PM
IPL 2011,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 33rd match","Apr 28, Thu","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2011,"RAJASTHAN ROYALS vs MUMBAI INDIANS, 34th match","Apr 29, Fri","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs PUNE WARRIORS, 35th match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2011,"KOCHI TUSKERS KERALA vs DELHI CAPITALS, 36th match","Apr 30, Sat","Nehru Stadium, Kochi",4:00 PM
IPL 2011,"KOLKATA KNIGHT RIDERS vs PUNJAB KINGS, 37th match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2011,"RAJASTHAN ROYALS vs PUNE WARRIORS, 38th match","May 01, Sun","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2011,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 39th match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,"MUMBAI INDIANS vs PUNJAB KINGS, 40th match","May 02, Mon","Wankhede Stadium, Mumbai",4:00 PM
IPL 2011,"DELHI CAPITALS vs KOCHI TUSKERS KERALA, 41st match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2011,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 42nd match","May 03, Tue","Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2011,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 43rd match","May 04, Wed","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2011,"PUNE WARRIORS vs MUMBAI INDIANS, 44th match",,"Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2011,"KOCHI TUSKERS KERALA vs KOLKATA KNIGHT RIDERS, 45th match","May 05, Thu","Nehru Stadium, Kochi",4:00 PM
IPL 2011,"DECCAN CHARGERS vs DELHI CAPITALS, 46th match",,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 47th match","May 06, Fri","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2011,"KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS, 48th match","May 07, Sat","Eden Gardens, Kolkata",4:00 PM
IPL 2011,"MUMBAI INDIANS vs DELHI CAPITALS, 49th match",,"Wankhede Stadium, Mumbai",8:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs KOCHI TUSKERS KERALA, 50th match","May 08, Sun","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2011,"PUNJAB KINGS vs PUNE WARRIORS, 51st match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2011,"RAJASTHAN ROYALS vs CHENNAI SUPER KINGS, 52nd match","May 09, Mon","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2011,"DECCAN CHARGERS vs PUNE WARRIORS, 53rd match","May 10, Tue","Rajiv Gandhi International Stadium, Hyderabad",4:00 PM
IPL 2011,"PUNJAB KINGS vs MUMBAI INDIANS, 54th match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2011,"RAJASTHAN ROYALS vs ROYAL CHALLENGERS BENGALURU, 55th match","May 11, Wed","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2011,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 56th match","May 12, Thu","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,"KOCHI TUSKERS KERALA vs PUNJAB KINGS, 57th match","May 13, Fri","Holkar Cricket Stadium, Indore",8:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 58th match","May 14, Sat","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2011,"MUMBAI INDIANS vs DECCAN CHARGERS, 59th match",,"Wankhede Stadium, Mumbai",8:00 PM
IPL 2011,"PUNJAB KINGS vs DELHI CAPITALS, 60th match","May 15, Sun","Himachal Pradesh Cricket Association Stadium, Dharamsala",4:00 PM
IPL 2011,"KOCHI TUSKERS KERALA vs RAJASTHAN ROYALS, 61st match",,"Holkar Cricket Stadium, Indore",8:00 PM
IPL 2011,"PUNE WARRIORS vs DECCAN CHARGERS, 62nd match","May 16, Mon","Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2011,"PUNJAB KINGS vs ROYAL CHALLENGERS BENGALURU, 63rd match","May 17, Tue","Himachal Pradesh Cricket Association Stadium, Dharamsala",8:00 PM
IPL 2011,"CHENNAI SUPER KINGS vs KOCHI TUSKERS KERALA, 64th match","May 18, Wed","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,"PUNE WARRIORS vs KOLKATA KNIGHT RIDERS, 65th match","May 19, Thu","Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2011,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 66th match","May 20, Fri","Wankhede Stadium, Mumbai",8:00 PM
IPL 2011,"PUNJAB KINGS vs DECCAN CHARGERS, 67th match","May 21, Sat","Himachal Pradesh Cricket Association Stadium, Dharamsala",4:00 PM
IPL 2011,"DELHI CAPITALS vs PUNE WARRIORS, 68th match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 69th match","May 22, Sun","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2011,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 70th match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2011,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, Qualifier 1 (1st v 2nd)","May 24, Tue","Wankhede Stadium, Mumbai",8:00 PM
IPL 2011,"MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS, Eliminator (3rd v 4th)","May 25, Wed","Wankhede Stadium, Mumbai",8:00 PM
IPL 2011,"MUMBAI INDIANS vs ROYAL CHALLENGERS BENGALURU, Qualifier 2 (Winner of Eliminator v Loser of Qualifier 1)","May 27, Fri","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, Final","May 28, Sat","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2011,The Times of India,N/A,N/A,N/A
IPL 2011,The Times of India,N/A,N/A,N/A
IPL 2012,N/A,ALL,N/A,N/A
IPL 2012,N/A,N/A,N/A,N/A
IPL 2012,N/A,N/A,76 T20s . Apr 04 - May 27,N/A
IPL 2012,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 1st Match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,N/A,N/A,N/A,N/A
IPL 2012,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 1st Match","Apr 04, Wed","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 2nd Match","Apr 05, Thu","Eden Gardens, Kolkata",8:00 PM
IPL 2012,"MUMBAI INDIANS vs PUNE WARRIORS, 3rd Match","Apr 06, Fri","Wankhede Stadium, Mumbai",4:00 PM
IPL 2012,"RAJASTHAN ROYALS vs PUNJAB KINGS, 4th Match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 5th Match","Apr 07, Sat","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2012,"DECCAN CHARGERS vs CHENNAI SUPER KINGS, 6th Match",,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8:00 PM
IPL 2012,"RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 7th Match","Apr 08, Sun","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2012,"PUNE WARRIORS vs PUNJAB KINGS, 8th Match",,"Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2012,"DECCAN CHARGERS vs MUMBAI INDIANS, 9th Match","Apr 09, Mon","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 10th Match","Apr 10, Tue","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2012,"DELHI CAPITALS vs CHENNAI SUPER KINGS, 11th Match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2012,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 12th Match","Apr 11, Wed","Wankhede Stadium, Mumbai",8:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, 13th Match","Apr 12, Thu","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2012,"PUNJAB KINGS vs PUNE WARRIORS, 14th Match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 15th Match","Apr 13, Fri","Eden Gardens, Kolkata",8:00 PM
IPL 2012,"PUNE WARRIORS vs CHENNAI SUPER KINGS, 16th Match","Apr 14, Sat","Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs PUNJAB KINGS, 17th Match","Apr 15, Sun","Eden Gardens, Kolkata",4:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 18th Match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2012,"MUMBAI INDIANS vs DELHI CAPITALS, 19th Match","Apr 16, Mon","Wankhede Stadium, Mumbai",8:00 PM
IPL 2012,"RAJASTHAN ROYALS vs DECCAN CHARGERS, 20th Match","Apr 17, Tue","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs PUNE WARRIORS, 21st Match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2012,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 22nd Match","Apr 18, Wed","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2012,"DELHI CAPITALS vs DECCAN CHARGERS, 23rd Match","Apr 19, Thu","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs PUNE WARRIORS, 24th Match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,"PUNJAB KINGS vs ROYAL CHALLENGERS BENGALURU, 25th Match","Apr 20, Fri","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 26th Match","Apr 21, Sat","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2012,"DELHI CAPITALS vs PUNE WARRIORS, 27th Match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2012,"MUMBAI INDIANS vs PUNJAB KINGS, 28th Match","Apr 22, Sun","Wankhede Stadium, Mumbai",4:00 PM
IPL 2012,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 29th Match",,"Barabati Stadium, Cuttack",8:00 PM
IPL 2012,"RAJASTHAN ROYALS vs ROYAL CHALLENGERS BENGALURU, 30th Match","Apr 23, Mon","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2012,"PUNE WARRIORS vs DELHI CAPITALS, 31st Match","Apr 24, Tue","Maharashtra Cricket Association Stadium, Pune",4:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs DECCAN CHARGERS, 32nd Match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2012,"PUNJAB KINGS vs MUMBAI INDIANS, 33rd Match","Apr 25, Wed","Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 34th Match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2012,"PUNE WARRIORS vs DECCAN CHARGERS, 35th Match","Apr 26, Thu","Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2012,"DELHI CAPITALS vs MUMBAI INDIANS, 36th Match","Apr 27, Fri","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 37th Match","Apr 28, Sat","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU, 38th Match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2012,"DELHI CAPITALS vs RAJASTHAN ROYALS, 39th Match","Apr 29, Sun","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2012,"MUMBAI INDIANS vs DECCAN CHARGERS, 40th Match",,"Wankhede Stadium, Mumbai",8:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 41st Match","Apr 30, Mon","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,"DECCAN CHARGERS vs PUNE WARRIORS, 42nd Match","May 01, Tue","Barabati Stadium, Cuttack",4:00 PM
IPL 2012,"RAJASTHAN ROYALS vs DELHI CAPITALS, 43rd Match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 44th Match","May 02, Wed","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2012,"PUNE WARRIORS vs MUMBAI INDIANS, 45th Match","May 03, Thu","Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 46th Match","May 04, Fri","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs PUNE WARRIORS, 47th Match","May 05, Sat","Eden Gardens, Kolkata",4:00 PM
IPL 2012,"PUNJAB KINGS vs RAJASTHAN ROYALS, 48th Match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2012,"MUMBAI INDIANS vs CHENNAI SUPER KINGS, 49th Match","May 06, Sun","Wankhede Stadium, Mumbai",4:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 50th Match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2012,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 51st Match","May 07, Mon","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2012,"PUNE WARRIORS vs RAJASTHAN ROYALS, 52nd Match","May 08, Tue","Maharashtra Cricket Association Stadium, Pune",4:00 PM
IPL 2012,"DECCAN CHARGERS vs PUNJAB KINGS, 53rd Match",,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2012,"MUMBAI INDIANS vs ROYAL CHALLENGERS BENGALURU, 54th Match","May 09, Wed","Wankhede Stadium, Mumbai",8:00 PM
IPL 2012,"DECCAN CHARGERS vs DELHI CAPITALS, 55th Match","May 10, Thu","Rajiv Gandhi International Stadium, Hyderabad",4:00 PM
IPL 2012,"RAJASTHAN ROYALS vs CHENNAI SUPER KINGS, 56th Match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2012,"PUNE WARRIORS vs ROYAL CHALLENGERS BENGALURU, 57th Match","May 11, Fri","Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 58th Match","May 12, Sat","Eden Gardens, Kolkata",4:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 59th Match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,"RAJASTHAN ROYALS vs PUNE WARRIORS, 60th Match","May 13, Sun","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2012,"PUNJAB KINGS vs DECCAN CHARGERS, 61st Match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2012,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 62nd Match","May 14, Mon","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2012,"KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS, 63rd Match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2012,"DELHI CAPITALS vs PUNJAB KINGS, 64th Match","May 15, Tue","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2012,"MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS, 65th Match","May 16, Wed","Wankhede Stadium, Mumbai",8:00 PM
IPL 2012,"PUNJAB KINGS vs CHENNAI SUPER KINGS, 66th Match","May 17, Thu","Himachal Pradesh Cricket Association Stadium, Dharamsala",4:00 PM
IPL 2012,"DELHI CAPITALS vs ROYAL CHALLENGERS BENGALURU, 67th Match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2012,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 68th Match","May 18, Fri","Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2012,"PUNJAB KINGS vs DELHI CAPITALS, 69th Match","May 19, Sat","Himachal Pradesh Cricket Association Stadium, Dharamsala",4:00 PM
IPL 2012,"PUNE WARRIORS vs KOLKATA KNIGHT RIDERS, 70th Match",,"Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2012,"DECCAN CHARGERS vs ROYAL CHALLENGERS BENGALURU, 71st Match","May 20, Sun","Rajiv Gandhi International Stadium, Hyderabad",4:00 PM
IPL 2012,"RAJASTHAN ROYALS vs MUMBAI INDIANS, 72nd Match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2012,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, Qualifier 1 (1st v 2nd)","May 22, Tue","Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2012,"MUMBAI INDIANS vs CHENNAI SUPER KINGS, Eliminator (3rd v 4th)","May 23, Wed","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs DELHI CAPITALS, Qualifier 2","May 25, Fri","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, Final","May 27, Sun","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2012,The Times of India,N/A,N/A,N/A
IPL 2012,The Times of India,N/A,N/A,N/A
IPL 2013,N/A,ALL,N/A,N/A
IPL 2013,N/A,N/A,N/A,N/A
IPL 2013,N/A,N/A,76 T20s . Apr 03 - May 26,N/A
IPL 2013,"KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 1st Match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2013,N/A,N/A,N/A,N/A
IPL 2013,"KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 1st Match","Apr 03, Wed","Eden Gardens, Kolkata",8:00 PM
IPL 2013,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 2nd Match","Apr 04, Thu","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2013,"SUNRISERS HYDERABAD vs PUNE WARRIORS, 3rd Match","Apr 05, Fri","Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2013,"DELHI CAPITALS vs RAJASTHAN ROYALS, 4th Match","Apr 06, Sat","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2013,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 5th Match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2013,"PUNE WARRIORS vs PUNJAB KINGS, 6th Match","Apr 07, Sun","Maharashtra Cricket Association Stadium, Pune",4:00 PM
IPL 2013,"SUNRISERS HYDERABAD vs ROYAL CHALLENGERS BENGALURU, 7th Match",,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2013,"RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 8th Match","Apr 08, Mon","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2013,"ROYAL CHALLENGERS BENGALURU vs SUNRISERS HYDERABAD, 9th Match","Apr 09, Tue","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2013,"MUMBAI INDIANS vs DELHI CAPITALS, 10th Match",,"Wankhede Stadium, Mumbai",8:00 PM
IPL 2013,"PUNJAB KINGS vs CHENNAI SUPER KINGS, 11th Match","Apr 10, Wed","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2013,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 12th Match","Apr 11, Thu","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2013,"PUNE WARRIORS vs RAJASTHAN ROYALS, 13th Match",,"Maharashtra Cricket Association Stadium, Pune",8:00 PM
IPL 2013,"DELHI CAPITALS vs SUNRISERS HYDERABAD, 14th Match","Apr 12, Fri","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2013,"MUMBAI INDIANS vs PUNE WARRIORS, 15th Match","Apr 13, Sat","Wankhede Stadium, Mumbai",4:00 PM
IPL 2013,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, 16th Match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2013,"KOLKATA KNIGHT RIDERS vs SUNRISERS HYDERABAD, 17th Match","Apr 14, Sun","Eden Gardens, Kolkata",4:00 PM
IPL 2013,"RAJASTHAN ROYALS vs PUNJAB KINGS, 18th Match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2013,"CHENNAI SUPER KINGS vs PUNE WARRIORS, 19th Match","Apr 15, Mon","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2013,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 20th Match","Apr 16, Tue","Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM
IPL 2013,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 21st Match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2013,"PUNE WARRIORS vs SUNRISERS HYDERABAD, 22nd Match","Apr 17, Wed","Maharashtra Cricket Association Stadium, Pune",4:00 PM
IPL 2013,"RAJASTHAN ROYALS vs MUMBAI INDIANS, 23rd Match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2013,"DELHI CAPITALS vs CHENNAI SUPER KINGS, 24th Match","Apr 18, Thu","Arun Jaitley Stadium, Delhi",8:00 PM
